Scrambled Eggs & Toast,600,20,30,20,breakfast
Grilled Chicken Salad,900,35,15,20,lunch
Steamed Fish with Quinoa,700,40,25,15,dinner
Greek Yogurt with Berries,800,15,20,5,breakfast
Avocado & Chicken Wrap,800,30,40,25,lunch
Chicken Caesar Salad,950,40,10,35,lunch
Oatmeal with Almond Butter,800,12,40,20,breakfast
Spaghetti with Meatballs,700,40,60,25,dinner
Vegetable Stir-Fry with Tofu,950,25,50,10,dinner
Pancakes with Syrup,800,10,65,15,breakfast
Salmon with Sweet Potatoes,850,45,50,20,dinner
Egg White Omelette,700,25,5,10,breakfast
Grilled Steak with Veggies,600,50,30,40,dinner
Lentil Soup with Bread,800,25,60,10,lunch
Chicken Stir-Fry with Rice,950,35,50,20,lunch
Fruit Salad with Nuts,850,5,40,15,breakfast
Quinoa with Roasted Vegetables,850,20,60,10,dinner
Turkey and Avocado Sandwich,950,40,45,20,lunch
Tofu Scramble with Spinach,700,25,15,15,breakfast
Pasta Primavera,800,20,75,25,dinner
Beef and Broccoli Stir-Fry,950,40,50,25,dinner
Smoothie with Protein,800,30,50,10,breakfast
